City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hermanus,11,ZA,1555978570,84,-34.42,19.24,18.33,4.47
Ushuaia,40,AR,1555977600,70,-54.81,-68.31,7,9.8
Bambous Virieux,40,MU,1555979042,88,-20.34,57.76,25,2.6
Mahebourg,40,MU,1555979042,88,-20.41,57.7,25,2.6
Codrington,75,AU,1555979142,73,-28.95,153.24,25,1.5
Georgetown,20,GY,1555977600,74,6.8,-58.16,28,3.1
,,,,,,,,
Hithadhoo,92,MV,1555979216,79,-0.6,73.08,28.9,5.32
Yaransk,64,RU,1555979676,77,57.3,47.88,5.64,2.85
Lekoni,92,GA,1555979676,66,-1.58,14.26,24.86,0.4
Punta Arenas,75,CL,1555978988,75,-53.16,-70.91,6,6.2
Isangel,75,VU,1555977600,74,-19.55,169.27,29,4.6
Arraial do Cabo,20,BR,1555974000,100,-22.97,-42.02,25,0.5
Conceicao da Barra,1,BR,1555979423,91,-18.59,-39.73,23.85,1.84
Bluff,47,AU,1555979351,60,-23.58,149.07,25.92,8.35
Kahului,40,US,1555979401,45,20.89,-156.47,30,8.7
San Patricio,14,PY,1555979676,78,-26.98,-56.83,22.14,3.75
Mataura,40,NZ,1555978805,92,-46.19,168.86,13.89,1.98
Hobart,0,AU,1555979240,58,-42.88,147.33,15.56,5.1
Rikitea,62,PF,1555979352,83,-23.12,-134.97,26.29,6.33
Lebu,75,ET,1555977600,87,8.96,38.73,15,1.5
Chuy,93,UY,1555979379,66,-33.69,-53.46,16.11,5.06
Guarapari,75,BR,1555978769,83,-20.67,-40.5,27,4.1
Vao,67,EE,1555979415,65,59.1,26.19,7.84,2
Bredasdorp,45,ZA,1555978570,82,-34.53,20.04,18,5.1
Sistranda,0,NO,1555979220,81,63.73,8.83,9.44,6.2
Nikolskoye,0,RU,1555979347,53,59.7,30.79,10.56,4
Kasempa,90,ZM,1555979677,93,-13.46,25.83,17.86,1.74
,,,,,,,,
Saint-Philippe,20,CA,1555979375,55,45.36,-73.48,15,5.1
,,,,,,,,
Khatanga,100,RU,1555979397,90,71.98,102.47,-6.26,4.42
Tuktoyaktuk,40,CA,1555977600,85,69.44,-133.03,-6,14.4
Port Alfred,100,ZA,1555979270,93,-33.59,26.89,17.22,1.34
Lamont,20,CA,1555979643,58,53.76,-112.78,16.11,7.7
Manokwari,50,ID,1555979572,61,-0.87,134.08,27.35,1.31
Atuona,5,PF,1555979357,76,-9.8,-139.03,28.83,8.08
Talnakh,75,RU,1555977600,100,69.49,88.39,-1,10
Kuytun,9,RU,1555979678,48,54.34,101.51,-1.02,2.09
Nago,75,IT,1555979643,82,45.88,10.89,15,8.2
,,,,,,,,
Balvi,24,LV,1555979678,69,57.13,27.27,7.64,1.34
Ardabil,90,IR,1555977180,92,38.25,48.3,-2,4.1
Havoysund,75,NO,1555977000,86,71,24.66,4,7.2
,,,,,,,,
Kapaa,40,US,1555979301,65,22.08,-159.32,27,5.7
Cidreira,87,BR,1555979432,65,-30.17,-50.22,19.74,3.01
Ixtapa,75,MX,1555979436,74,20.71,-105.21,26,5.1
,,,,,,,,
Ulladulla,75,AU,1555979411,77,-35.36,150.48,21.67,5.1
Heze,0,CN,1555979679,82,35.25,115.45,18.51,2.61
,,,,,,,,
Leninskoye,1,RU,1555977600,73,54.82,82.85,-4,1.15
Carnarvon,54,ZA,1555979357,73,-30.97,22.13,10.72,8.71
Cape Town,20,ZA,1555979223,68,-33.93,18.42,18.33,9.8
Buckeye,1,US,1555979544,11,33.37,-112.58,30.56,2.6
Busselton,68,AU,1555979261,79,-33.64,115.35,14.44,5.18
Hofn,100,IS,1555979374,96,64.25,-15.21,-2.3,1.75
Saskylakh,44,RU,1555979372,90,71.97,114.09,-9.66,5.62
Saint-Leu,90,RE,1555979466,69,-21.15,55.28,26,2.6
Diffa,47,NE,1555979680,10,13.32,12.61,31.63,6.52
Batagay,0,RU,1555979652,58,67.65,134.64,-2.1,2.17
Avarua,100,CK,1555977600,61,-21.21,-159.78,26,5.1
Cockburn Town,1,TC,1555979359,78,21.46,-71.14,25.81,5.69
Sur,0,OM,1555979423,39,22.57,59.53,29.55,3.45
Pangnirtung,66,CA,1555979419,99,66.15,-65.72,-26.46,1.03
Taseyevo,91,RU,1555979680,80,57.22,94.9,-1.12,2.33
Faanui,98,PF,1555979093,72,-16.48,-151.75,29.5,4.21
Praxedis Guerrero,75,MX,1555978260,77,31.37,-106.02,17,7.2
Vaini,15,IN,1555979055,65,15.34,74.49,24.07,0.94
Riyadh,0,SA,1555974000,18,24.63,46.72,15,2.1
Proletarsk,5,RU,1555979680,55,46.7,41.72,6.35,1.48
Kruisfontein,100,ZA,1555979400,91,-34,24.73,15.38,4.43
Souillac,0,FR,1555979228,48,45.6,-0.6,17,5.1
Albany,75,US,1555979342,42,42.65,-73.75,19,3.1
Mildura,90,AU,1555977600,93,-34.18,142.16,12,3.1
Kresna,96,BG,1555979610,52,41.72,23.16,0.56,1.34
Usinsk,99,RU,1555979681,85,66,57.56,-2.45,6.58
Vestmannaeyjar,86,IS,1555979245,71,63.44,-20.27,6.52,3.77
Saint-Pierre,0,FR,1555979524,71,48.95,4.24,15,3.1
Castro,20,CL,1555977600,93,-42.48,-73.76,7,2.6
Kattivakkam,40,IN,1555979616,74,13.22,80.32,28.89,2.74
Slave Lake,75,CA,1555977600,93,55.28,-114.77,6,2.6
Tuckahoe,1,US,1555979644,42,37.59,-77.56,19.44,0.8
,,,,,,,,
